Orthogroup	homeo_mcor	homeo_pdum
OG0000001	A0A6J8D4G9_MYTCO, A0A6J8D326_MYTCO, A0A6J8D1S3_MYTCO, A0A6J8CZX6_MYTCO, A0A6J8D2D2_MYTCO	Pdum_DN87249_c0_g1_i9.p1^
OG0000002	A0A6J8CM12_MYTCO, A0A6J8CIP8_MYTCO, A0A6J8C766_MYTCO, A0A6J8CB01_MYTCO, A0A6J8CAU0_MYTCO, A0A6J8C6X8_MYTCO, A0A6J8CRW7_MYTCO, A0A6J8E6I5_MYTCO	Pdum_DN82374_c0_g2_i1.p1^, Pdum_DN69195_c0_g1_i2.p1^
OG0000003	A0A6J8C7S3_MYTCO	Pdum_DN77615_c1_g1_i2.p1^
OG0000003	A0A6J8BYI7_MYTCO	Pdum_DN83553_c0_g1_i4.p1^
OG0000004	A0A6J8CNA2_MYTCO, A0A6J8D371_MYTCO, A0A6J8B9F8_MYTCO	Pdum_DN76380_c0_g1_i2.p1^
OG0000006	A0A6J8DH72_MYTCO, A0A6J8DEH6_MYTCO	Pdum_DN79817_c0_g1_i1.p1^
OG0000007	A0A6J8EWP7_MYTCO	Pdum_DN86128_c0_g1_i2.p1^
OG0000007	A0A6J8EWJ3_MYTCO	Pdum_DN87433_c1_g1_i2.p1^
OG0000009	A0A6J8CLR7_MYTCO, A0A6J8CIY4_MYTCO	Pdum_DN83852_c0_g2_i4.p1^
OG0000010	A0A6J8AYI9_MYTCO	Pdum_DN83264_c1_g2_i1.p1^
OG0000011	A0A6J8DUM5_MYTCO	Pdum_DN70407_c0_g2_i8.p1^
OG0000012	A0A6J8DJ46_MYTCO, A0A6J8DK06_MYTCO	Pdum_DN83273_c0_g1_i5.p1^
OG0000013	A0A6J8EU52_MYTCO	Pdum_DN87922_c0_g1_i6.p1^
OG0000013	A0A6J8EUM6_MYTCO	Pdum_DN92432_c4_g1_i1.p1^
OG0000014	A0A6J8A481_MYTCO	Pdum_DN71779_c0_g1_i1.p1^
OG0000016	A0A6J8AS36_MYTCO	Pdum_DN81015_c0_g1_i6.p1^
OG0000017	A0A6J8EWU2_MYTCO	Pdum_DN75322_c0_g2_i2.p1^
OG0000019	A0A6J7ZWY7_MYTCO, A0A6J7ZWH3_MYTCO, A0A6J8AYR7_MYTCO, A0A6J8AXM7_MYTCO	Pdum_DN84079_c0_g1_i3.p1^, Pdum_DN72039_c3_g4_i2.p1^, Pdum_DN86613_c0_g1_i2.p1^
OG0000020	A0A6J8EQ72_MYTCO	Pdum_DN77586_c0_g1_i9.p1^
OG0000021	A0A6J8AHL2_MYTCO	Pdum_DN80764_c1_g1_i2.p1^
OG0000022	A0A6J8AXB1_MYTCO, A0A6J8AT60_MYTCO, A0A6J8AWI0_MYTCO	Pdum_DN68407_c0_g1_i7.p1^
OG0000023	A0A6J8CQJ4_MYTCO, A0A6J8CS02_MYTCO	Pdum_DN89526_c4_g1_i2.p1^
OG0000024	A0A6J8A9D3_MYTCO	Pdum_DN92058_c1_g1_i2.p1^
OG0000025	A0A6J8D8H3_MYTCO	Pdum_DN66937_c0_g1_i1.p1^
OG0000027	A0A6J8D474_MYTCO	Pdum_DN90853_c3_g1_i5.p1^
OG0000030	A0A6J8ERK1_MYTCO, A0A6J8EQX0_MYTCO, A0A6J8ENY4_MYTCO, A0A6J8ES43_MYTCO	Pdum_DN79894_c0_g1_i15.p1^
OG0000031	A0A6J8EJZ7_MYTCO, A0A6J8EIY5_MYTCO	Pdum_DN83076_c0_g2_i1.p1^
OG0000032	A0A6J8C463_MYTCO	Pdum_DN67112_c0_g1_i1.p1^
OG0000034	A0A6J8C2J9_MYTCO	Pdum_DN75781_c0_g1_i2.p1^
OG0000036	A0A6J8DUK4_MYTCO	Pdum_DN85739_c0_g1_i1.p1^
OG0000037	A0A6J8EMB0_MYTCO	Pdum_DN50323_c0_g1_i1.p1^, Pdum_DN91429_c7_g4_i1.p1^
OG0000042	A0A6J8CIT0_MYTCO	Pdum_DN83362_c0_g1_i12.p1^
OG0000043	A0A6J8AZP6_MYTCO	Pdum_DN91323_c1_g1_i1.p1^
OG0000046	A0A6J8EY74_MYTCO	Pdum_DN80119_c0_g1_i2.p1^
OG0000047	A0A6J8EWN4_MYTCO	Pdum_DN84301_c0_g1_i2.p1^
OG0000048	A0A6J8ENB2_MYTCO	Pdum_DN83667_c1_g1_i9.p1^
OG0000049	A0A6J8DUS0_MYTCO	Pdum_DN74981_c0_g1_i2.p1^
OG0000052	A0A6J8EFH5_MYTCO	Pdum_DN81108_c0_g1_i3.p1^
OG0000053	A0A6J8EZ06_MYTCO	Pdum_DN72621_c0_g1_i2.p1^
OG0000054	A0A6J8AVS3_MYTCO	Pdum_DN78247_c0_g1_i1.p1^
OG0000057	A0A6J8BQG6_MYTCO	Pdum_DN81728_c0_g1_i1.p1^
OG0000058	A0A6J8ABZ2_MYTCO	Pdum_DN80655_c0_g3_i2.p1^
OG0000059	A0A6J8DVH7_MYTCO	Pdum_DN89862_c1_g2_i3.p1^
OG0000066	A0A6J8AVM2_MYTCO	Pdum_DN75939_c0_g1_i5.p1^
OG0000067	A0A6J8EU43_MYTCO	Pdum_DN81110_c0_g1_i4.p1^
OG0000069	A0A6J8DU24_MYTCO	Pdum_DN84796_c0_g1_i12.p1^
OG0000071	A0A6J8E6J6_MYTCO	Pdum_DN91293_c5_g1_i4.p1^
OG0000073	A0A6J8D4P7_MYTCO	Pdum_DN66869_c0_g1_i1.p1^
OG0000074	A0A6J8DNQ5_MYTCO	Pdum_DN87519_c0_g1_i4.p1^
OG0000080	A0A6J8C7H5_MYTCO	Pdum_DN74284_c0_g1_i3.p1^
OG0000081	A0A6J8CYK6_MYTCO	Pdum_DN91247_c6_g1_i5.p1^
